num_gab,year,week,week_start,week_end,total_montant,total_nombre,lib_gab,agence,region,ds,y
1600528,2023,26,2023-06-26,2023-07-02,82742.15977779042,1057.8099082890383,Site_41,Agence_41,Region_5,2023-06-26,73700.0
1600528,2023,27,2023-07-03,2023-07-09,743961.8511742905,725.9961966086047,Site_42,Agence_42,Region_6,2023-07-03,739450.0
1600528,2023,28,2023-07-10,2023-07-16,638153.4729805181,862.2177960324126,Site_43,Agence_43,Region_7,2023-07-10,721000.0
1600528,2023,29,2023-07-17,2023-07-23,1007564.5182100352,929.9749133197244,Site_44,Agence_44,Region_8,2023-07-17,892800.0
1600528,2023,30,2023-07-24,2023-07-30,956671.0598059334,930.3908516319357,Site_45,Agence_45,Region_9,2023-07-24,954800.0
1600528,2023,31,2023-07-31,2023-08-06,1130050.8192186055,1235.70557608959,Site_46,Agence_46,Region_10,2023-07-31,1321500.0
1600528,2023,32,2023-08-07,2023-08-13,646038.5268636248,680.542117268716,Site_47,Agence_47,Region_11,2023-08-07,760950.0
1600528,2023,33,2023-08-14,2023-08-20,629089.8190677247,521.027553652801,Site_48,Agence_48,Region_12,2023-08-14,549950.0
1600528,2023,34,2023-08-21,2023-08-27,595513.3638771422,511.90596072123486,Site_49,Agence_49,Region_1,2023-08-21,553000.0
1600528,2023,35,2023-08-28,2023-09-03,1130546.0614717114,912.7249646841283,Site_50,Agence_50,Region_2,2023-08-28,1108850.0
1600528,2023,36,2023-09-04,2023-09-10,664486.0810221349,769.0222623388036,Site_1,Agence_51,Region_3,2023-09-04,782550.0
1600528,2023,37,2023-09-11,2023-09-17,630091.605375151,870.1209978687109,Site_2,Agence_52,Region_4,2023-09-11,777650.0
1600528,2023,38,2023-09-18,2023-09-24,1027533.4921969112,872.8085651170355,Site_3,Agence_53,Region_5,2023-09-18,1001100.0
1600528,2023,39,2023-09-25,2023-10-01,1387899.6435734287,1463.9887843138285,Site_4,Agence_54,Region_6,2023-09-25,1519950.0
1600528,2023,40,2023-10-02,2023-10-08,1075009.4532469024,1166.3878473375182,Site_5,Agence_55,Region_7,2023-10-02,1257950.0
1600528,2023,41,2023-10-09,2023-10-15,740345.8493519218,735.321912889755,Site_6,Agence_56,Region_8,2023-10-09,751850.0
1600528,2023,42,2023-10-16,2023-10-22,986241.2419593724,781.8661772983643,Site_7,Agence_57,Region_9,2023-10-16,831700.0
1600528,2023,43,2023-10-23,2023-10-29,740580.8460049249,696.6678478610357,Site_8,Agence_58,Region_10,2023-10-23,793750.0
1600528,2023,44,2023-10-30,2023-11-05,1324625.4273876112,1465.6945341383093,Site_9,Agence_59,Region_11,2023-10-30,1538700.0
1600528,2023,45,2023-11-06,2023-11-12,1445642.7408107275,1802.4880229314672,Site_10,Agence_60,Region_12,2023-11-06,1499650.0
1600528,2023,46,2023-11-13,2023-11-19,669828.0020909652,761.3424532249539,Site_11,Agence_61,Region_1,2023-11-13,770500.0
1600528,2023,47,2023-11-20,2023-11-26,829979.4482318577,901.0686459333475,Site_12,Agence_62,Region_2,2023-11-20,863100.0
1600528,2023,48,2023-11-27,2023-12-03,1095128.8966729182,1111.9332612913356,Site_13,Agence_63,Region_3,2023-11-27,1293150.0
1600528,2023,49,2023-12-04,2023-12-10,916735.1722801282,1057.275287913314,Site_14,Agence_64,Region_4,2023-12-04,1127300.0
1600528,2023,50,2023-12-11,2023-12-17,949793.7351925891,847.0343347362417,Site_15,Agence_65,Region_5,2023-12-11,876800.0
1600528,2023,51,2023-12-18,2023-12-24,1741841.9206304562,1471.8450102490442,Site_16,Agence_66,Region_6,2023-12-18,1502900.0
1600528,2024,1,2024-01-01,2025-01-05,1343097.9903365446,2673.5022805514227,Site_17,Agence_67,Region_7,2024-01-01,1188915.306122449
1600528,2024,2,2024-01-08,2024-01-14,1011927.3913818132,1021.9840471045331,Site_18,Agence_68,Region_8,2024-01-08,887050.0
1600528,2024,3,2024-01-15,2024-01-21,1322220.9774419009,1367.407797708267,Site_19,Agence_69,Region_9,2024-01-15,1307350.0
1600528,2024,4,2024-01-22,2024-01-28,1384135.8352734854,1411.780055987883,Site_20,Agence_70,Region_10,2024-01-22,1387750.0
1600528,2024,5,2024-01-29,2024-02-04,1491167.9493704652,1332.6711266577165,Site_21,Agence_71,Region_11,2024-01-29,1441250.0
1600528,2024,6,2024-02-05,2024-02-11,879249.743537196,929.4263902385756,Site_22,Agence_72,Region_12,2024-02-05,829450.0
1600528,2024,7,2024-02-12,2024-02-18,524703.5602648472,810.7081226429307,Site_23,Agence_73,Region_1,2024-02-12,598800.0
1600528,2024,8,2024-02-19,2024-02-25,1030691.8814186892,831.1530885292086,Site_24,Agence_74,Region_2,2024-02-19,936400.0
1600528,2024,9,2024-02-26,2024-03-03,1485526.5826065086,1502.5994536402422,Site_25,Agence_75,Region_3,2024-02-26,1545300.0
1600528,2024,10,2024-03-04,2024-03-10,1405371.454636017,1560.216273061916,Site_26,Agence_76,Region_4,2024-03-04,1529350.0
1600528,2024,11,2024-03-11,2024-03-17,1392202.0750184893,1484.9661754444235,Site_27,Agence_77,Region_5,2024-03-11,1256950.0
1600528,2024,12,2024-03-18,2024-03-24,1617159.7906948028,1476.8940927549731,Site_28,Agence_78,Region_6,2024-03-18,1498200.0
1600528,2024,13,2024-03-25,2024-03-31,1424389.3421371984,1451.9524230087882,Site_29,Agence_79,Region_7,2024-03-25,1760800.0
1600528,2024,14,2024-04-01,2024-04-07,2036296.885542195,1736.2175715995288,Site_30,Agence_80,Region_8,2024-04-01,1932000.0
1600528,2024,15,2024-04-08,2024-04-14,849638.4691831691,1326.1379978744658,Site_31,Agence_81,Region_9,2024-04-08,1002600.0
1600528,2024,16,2024-04-15,2024-04-21,848774.5303537494,843.1572177199599,Site_32,Agence_82,Region_10,2024-04-15,799650.0
1600528,2024,17,2024-04-22,2024-04-28,687368.6709257046,882.1938260212871,Site_33,Agence_83,Region_11,2024-04-22,844550.0
1600528,2024,18,2024-04-29,2024-05-05,1274726.5657991022,1248.350861914284,Site_34,Agence_84,Region_12,2024-04-29,1188915.306122449
1600528,2024,19,2024-05-06,2024-05-12,1089766.3437429096,1460.9296930151238,Site_35,Agence_85,Region_1,2024-05-06,1187600.0
1600528,2024,20,2024-05-13,2024-05-19,767297.2016388681,1134.850172402234,Site_36,Agence_86,Region_2,2024-05-13,900000.0
1600528,2024,21,2024-05-20,2024-05-26,1513793.2923647019,1756.0361640582285,Site_37,Agence_87,Region_3,2024-05-20,1605500.0
1600528,2024,22,2024-05-27,2024-06-02,1901140.965470257,1675.7954162463577,Site_38,Agence_88,Region_4,2024-05-27,1629800.0
1600528,2024,23,2024-06-03,2024-06-09,2150258.508777901,2219.4683233235164,Site_39,Agence_89,Region_5,2024-06-03,2079900.0
1600528,2024,24,2024-06-10,2024-06-16,2413593.172839202,2080.7322514760453,Site_40,Agence_90,Region_6,2024-06-10,2353000.0
1600528,2024,25,2024-06-17,2024-06-23,240174.40287055704,275.1897414224909,Site_41,Agence_91,Region_7,2024-06-17,284850.0
1600528,2024,26,2024-06-24,2024-06-30,602684.0381320838,767.0140881416759,Site_42,Agence_92,Region_8,2024-06-24,750450.0
1600528,2024,27,2024-07-01,2024-07-07,1348865.7664328988,1352.2896597058766,Site_43,Agence_93,Region_9,2024-07-01,1190600.0
1600528,2024,28,2024-07-08,2024-07-14,1018580.7107395638,1254.385497594569,Site_44,Agence_94,Region_10,2024-07-08,1126100.0
1600528,2024,29,2024-07-15,2024-07-21,967141.1520493982,1083.5754827921082,Site_45,Agence_95,Region_11,2024-07-15,1090900.0
1600528,2024,30,2024-07-22,2024-07-28,653188.2050253382,609.6249463477396,Site_46,Agence_96,Region_12,2024-07-22,615900.0
1600528,2024,31,2024-07-29,2024-08-04,1157722.7579131366,1254.3634633370839,Site_47,Agence_97,Region_1,2024-07-29,1188915.306122449
